"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2011-06-21 01:42:21,FALSE,TRUE,0,FALSE,2011-06-21 01:42:21,0
2011-06-21 11:06:22,TRUE,FALSE,0,FALSE,2011-06-21 11:06:22,0
2011-06-22 02:01:18,FALSE,FALSE,0,FALSE,2011-06-22 02:01:18,0
2011-06-22 11:00:25,TRUE,FALSE,0,FALSE,2011-06-22 11:00:25,0
2011-06-23 01:52:21,FALSE,FALSE,0,FALSE,2011-06-23 01:52:21,0
2011-06-23 11:01:08,TRUE,FALSE,0,FALSE,2011-06-23 11:01:08,0
2011-06-24 02:01:44,FALSE,FALSE,0,FALSE,2011-06-24 02:01:44,0
2011-06-24 11:01:08,TRUE,FALSE,0,FALSE,2011-06-24 11:01:08,0
2011-06-25 02:01:11,FALSE,FALSE,0,FALSE,2011-06-25 02:01:11,0
2011-06-25 10:55:26,TRUE,FALSE,0,FALSE,2011-06-25 10:55:26,0
2011-06-26 02:02:04,FALSE,FALSE,0,FALSE,2011-06-26 02:02:04,0
2011-06-26 10:58:15,TRUE,FALSE,0,FALSE,2011-06-26 10:58:15,0
2011-06-27 01:53:08,FALSE,FALSE,0,FALSE,2011-06-27 01:53:08,0
2011-06-27 11:15:38,TRUE,FALSE,0,FALSE,2011-06-27 11:15:38,0
2011-06-28 01:41:35,FALSE,FALSE,0,FALSE,2011-06-28 01:41:35,0
2011-06-28 11:07:15,TRUE,FALSE,0,FALSE,2011-06-28 11:07:15,0
2011-06-29 01:52:28,FALSE,FALSE,0,FALSE,2011-06-29 01:52:28,0
2011-06-29 11:06:16,TRUE,FALSE,0,FALSE,2011-06-29 11:06:16,0
2011-06-30 01:58:00,FALSE,FALSE,0,FALSE,2011-06-30 01:58:00,0
2011-06-30 11:02:11,TRUE,FALSE,0,FALSE,2011-06-30 11:02:11,0
2011-07-01 01:53:24,FALSE,FALSE,0,FALSE,2011-07-01 01:53:24,0
2011-07-01 11:06:06,TRUE,FALSE,0,FALSE,2011-07-01 11:06:06,0
2011-07-02 01:51:24,FALSE,FALSE,0,FALSE,2011-07-02 01:51:24,0
2011-07-02 11:06:31,TRUE,FALSE,0,FALSE,2011-07-02 11:06:31,0
2011-07-03 01:52:43,FALSE,FALSE,0,FALSE,2011-07-03 01:52:43,0
2011-07-03 11:10:59,TRUE,FALSE,0,FALSE,2011-07-03 11:10:59,0
2011-07-04 01:51:30,FALSE,FALSE,0,FALSE,2011-07-04 01:51:30,0
2011-07-04 11:03:28,TRUE,FALSE,0,FALSE,2011-07-04 11:03:28,0
2011-07-05 01:45:31,FALSE,FALSE,0,FALSE,2011-07-05 01:45:31,0
2011-07-05 11:19:44,TRUE,FALSE,0,FALSE,2011-07-05 11:19:44,0
2011-07-06 01:51:30,FALSE,FALSE,0,FALSE,2011-07-06 01:51:30,0
2011-07-06 11:06:06,TRUE,FALSE,0,FALSE,2011-07-06 11:06:06,0
2011-07-07 01:55:31,FALSE,FALSE,0,FALSE,2011-07-07 01:55:31,0
2011-07-07 11:18:28,TRUE,FALSE,0,FALSE,2011-07-07 11:18:28,0
2011-07-08 02:01:24,FALSE,FALSE,0,FALSE,2011-07-08 02:01:24,0
2011-07-08 10:57:35,TRUE,FALSE,0,FALSE,2011-07-08 10:57:35,0
2011-07-09 01:55:31,FALSE,FALSE,0,FALSE,2011-07-09 01:55:31,0
2011-07-09 11:05:46,TRUE,FALSE,0,FALSE,2011-07-09 11:05:46,0
2011-07-10 01:50:19,FALSE,FALSE,0,FALSE,2011-07-10 01:50:19,0
2011-07-10 11:09:11,TRUE,FALSE,0,FALSE,2011-07-10 11:09:11,0
2011-07-11 02:00:00,FALSE,FALSE,0,FALSE,2011-07-11 02:00:00,0
2011-07-11 11:09:54,TRUE,FALSE,0,FALSE,2011-07-11 11:09:54,0
2011-07-12 01:50:31,FALSE,FALSE,0,FALSE,2011-07-12 01:50:31,0
2011-07-12 11:10:25,TRUE,FALSE,0,FALSE,2011-07-12 11:10:25,0
2011-07-13 01:53:08,FALSE,FALSE,0,FALSE,2011-07-13 01:53:08,0
2011-07-13 11:10:25,TRUE,FALSE,0,FALSE,2011-07-13 11:10:25,0
2011-07-14 01:52:03,FALSE,FALSE,0,FALSE,2011-07-14 03:50:19,0
2011-07-14 11:18:56,TRUE,FALSE,0,FALSE,2011-07-14 11:18:56,0
2011-07-15 02:00:19,FALSE,FALSE,0,FALSE,2011-07-15 02:00:19,0
2011-07-15 11:07:24,TRUE,FALSE,0,FALSE,2011-07-15 11:07:24,0
2011-07-16 01:52:28,FALSE,FALSE,0,FALSE,2011-07-16 01:52:28,0
2011-07-16 11:05:26,TRUE,FALSE,0,FALSE,2011-07-16 11:05:26,0
2011-07-17 01:55:31,FALSE,FALSE,0,FALSE,2011-07-17 01:55:31,0
2011-07-17 11:12:11,TRUE,FALSE,0,FALSE,2011-07-17 11:12:11,0
2011-07-18 01:53:40,FALSE,FALSE,0,FALSE,2011-07-18 02:45:31,0
2011-07-18 11:15:46,TRUE,FALSE,0,FALSE,2011-07-18 11:15:46,0
2011-07-19 01:55:31,FALSE,FALSE,0,FALSE,2011-07-19 01:55:31,0
2011-07-19 11:10:00,TRUE,FALSE,0,FALSE,2011-07-19 09:00:59,0
2011-07-20 01:53:08,FALSE,FALSE,0,FALSE,2011-07-20 01:53:08,0
2011-07-20 11:09:30,TRUE,FALSE,0,FALSE,2011-07-20 11:09:30,0
2011-07-21 01:53:45,FALSE,FALSE,0,FALSE,2011-07-21 02:05:31,0
2011-07-21 11:13:53,TRUE,FALSE,0,FALSE,2011-07-21 11:13:53,0
2011-07-22 02:02:06,FALSE,FALSE,0,FALSE,2011-07-22 02:02:06,0
2011-07-22 11:15:21,TRUE,FALSE,0,FALSE,2011-07-22 11:15:21,0
2011-07-23 02:11:35,FALSE,TRUE,0,FALSE,2011-07-23 02:11:35,0
2011-07-23 11:12:11,TRUE,FALSE,0,FALSE,2011-07-23 11:12:11,0
